Front,Back
"When was Shelter established?","2000"
"When did Shelter disappear?","2025"
"When was Shelter rediscovered by the Sentinels?","2042"
"Who are the Sentinels?","The people who first rediscovered Shelter"
"Who are the Messengers?","Mail carriers of the apocalypse"
"Who created the Merchant Island strain?","Professor Blunder"
"What strain allowed animals to become infected?","The Merchant Island strain"
"What happens if you are bitten by an infected animal?","You become infected"
"Who are infected animals hostile toward?","Both living humans and infected humans"
"Who are infected humans hostile toward?","Both living humans and infected animals"
"What is the Inter-City Contract (ICC)?","A coalition of surviving city-states in the former IWA"
"When was the ICC formed?","2029"
"What are the two parts of an ICC city?","The Outer Shell and Inner Shell"
"What is the difference between the Outer and Inner Shells?","Outer Shells supply resources. Inner Shells house the main population"
"How do ICC cities deal with suspected SiB-6 infection?","Suspected infected people can be executed immediately"
"Where are the Deadlands?","The central plains between the Rockies and Appalachians, extending to Mexico and the Darién Gap"
"What makes the Deadlands dangerous?","Radiation, dust storms, extreme weather, raiders, cannibals, and massive Infected hordes"
"What are the Deadlands?","A scorched region poisoned by nuclear fire"
"What was the Long Dark?","A long freeze caused by ash and dust blocking sunlight"
"When did the nuclear firestorms devastate the United States?","1997"
"What happened during the Long Dark?","Crops failed, millions starved or froze, and cities were overrun by the undead"
"What currency do the Deadlands and Splinters use?","Crow Coins"
"When were Crow Coins introduced?","2008 by the Steel Syndicate."
"What happened to Independent West Dollars after the collapse?","They became rare, but collectors may exchange them for Crow Coins"
"What currency does the outside world use?","The IRU (International Reserve Unit), backed by gold and silver"
"Are IRUs widely accepted in the Americas?","No. They have little value in the Americas because nothing backs them there"
"What was Independent West America (IWA)?","A safe, modern country west of the Rocky Mountains"
"What happened to IWA in 2029?","Merchant Island-strain zombies overran it after the Rockies failed to stop them"
"What replaced IWA after its fall?","The Inter-City Contract (ICC)"
"When did Independent West America (IWA) break away from the US government?","1998"
"Can Outer Shell civilians freely enter the Inner Shell?","No. They face discrimination and are usually treated as second-class citizens"
"Can you freely leave an ICC city and return?","No. Leaving without government approval makes returning difficult, even with ID."
"Can you freely travel between ICC cities?","No. Approved travelers face screenings, tests, and questioning, and usually enter the Outer Shell."
"What is Merchant Island?","An isolated island in the Great Lakes"
"What happened when Merchant Island opened its borders in 2017?","The Runic Sigil infiltrated the island and caused its fall."
